date,number_of_strikes,center_point_geom
2016-01-21,24,POINT(-92 29.4)
2016-01-21,33,POINT(-90.4 32.4)
2016-01-21,31,POINT(-94.2 32)
2016-01-21,31,POINT(-92.2 29.8)
2016-01-21,24,POINT(-95.5 32.3)
2016-01-21,45,POINT(-93.5 31.1)
2016-01-21,41,POINT(-93.3 31.6)
2016-01-21,56,POINT(-93.7 30.9)
2016-01-21,24,POINT(-94.1 31.1)
2016-01-21,33,POINT(-89.4 29.2)
2016-01-21,35,POINT(-90 28.9)
2016-01-21,24,POINT(-95.3 34.2)
2016-01-21,35,POINT(-95.7 32.2)
2016-01-21,28,POINT(-93.7 30.4)
2016-01-21,27,POINT(-94.7 34.2)
2016-01-21,38,POINT(-91.4 30.9)
2016-01-21,30,POINT(-93.7 31.4)
2016-01-21,53,POINT(-91.7 31.7)
2016-01-21,32,POINT(-93.2 28.7)
2016-01-21,33,POINT(-93.4 31)
2016-01-21,33,POINT(-90.9 31)
2016-01-21,30,POINT(-95.6 32.5)
2016-01-21,30,POINT(-93.7 30.5)
2016-01-21,30,POINT(-90.7 32.5)
2016-01-21,48,POINT(-93.8 31)
2016-01-21,25,POINT(-91.4 31.2)
2016-01-21,37,POINT(-91.4 32.1)
2016-01-21,38,POINT(-89.7 32.3)
2016-01-21,41,POINT(-93.8 30.6)
2016-01-21,44,POINT(-95.1 32.7)
2016-01-21,58,POINT(-93 30.9)
2016-01-21,29,POINT(-92.9 31.3)
2016-01-21,31,POINT(-91.2 31.4)
2016-01-21,38,POINT(-91.9 31.1)
2016-01-21,64,POINT(-89.9 31.9)
2016-01-21,27,POINT(-93.1 28.8)
2016-01-21,51,POINT(-91 31.5)
2016-01-21,51,POINT(-90.8 31.6)
2016-01-21,25,POINT(-94.7 31.8)
2016-01-21,31,POINT(-93.5 32.5)
2016-01-21,29,POINT(-92.7 30.9)
2016-01-21,40,POINT(-95 34.2)
2016-01-21,33,POINT(-90.3 31.8)
2016-01-21,28,POINT(-92.5 32.5)
2016-01-21,50,POINT(-92.4 31.1)
2016-01-21,65,POINT(-90.7 31.6)
2016-01-21,25,POINT(-93.4 30.5)
2016-01-21,26,POINT(-92.8 32)
2016-01-21,30,POINT(-93 31.1)
2016-01-21,32,POINT(-89.6 32.3)
2016-01-21,58,POINT(-93.6 31)
2016-01-21,24,POINT(-92.7 32.7)
2016-01-21,39,POINT(-91.9 31.2)
2016-01-21,47,POINT(-93.3 30.7)
2016-01-21,28,POINT(-93.2 31.4)
2016-01-21,31,POINT(-92.3 29.7)
2016-01-21,54,POINT(-91.7 31.1)
2016-01-21,29,POINT(-91 31.6)
2016-01-21,47,POINT(-94.1 32)
2016-01-21,59,POINT(-91.3 31.4)
2016-01-21,34,POINT(-91.3 30.5)
2016-01-21,31,POINT(-92.7 31.4)
2016-01-21,35,POINT(-92.3 31.1)
2016-01-21,47,POINT(-93.3 31.1)
2016-01-21,39,POINT(-90.5 31.6)
2016-01-21,27,POINT(-94.8 31.7)
2016-01-21,34,POINT(-90 31.8)
2016-01-21,24,POINT(-91.8 30.7)
2016-01-21,24,POINT(-91.3 31.9)
2016-01-21,34,POINT(-93 31.2)
2016-01-21,25,POINT(-91.2 30.6)
2016-01-21,26,POINT(-92.6 28.8)
2016-01-21,46,POINT(-89.7 29.1)
2016-01-21,27,POINT(-91.1 30.7)
2016-01-21,34,POINT(-89 29.6)
2016-01-21,24,POINT(-94 30.6)
2016-01-21,32,POINT(-94.1 33)
2016-01-21,31,POINT(-93.4 32.2)
2016-01-21,24,POINT(-94.5 32.6)
2016-01-21,32,POINT(-92 31.2)
2016-01-21,26,POINT(-90.9 32.3)
2016-01-21,34,POINT(-90.9 31.6)
2016-01-21,26,POINT(-91.2 31)
2016-01-21,40,POINT(-95.5 32.5)
2016-01-21,31,POINT(-90.6 32.5)
2016-01-21,40,POINT(-92.1 31.5)
2016-01-21,28,POINT(-89.3 29.2)
2016-01-21,52,POINT(-91.9 31.6)
2016-01-21,25,POINT(-90.4 28.9)
2016-01-21,37,POINT(-93.4 31.6)
2016-01-21,24,POINT(-93.1 31.4)
2016-01-21,24,POINT(-89.1 34.6)
2016-01-21,41,POINT(-94.7 31.6)
2016-01-21,37,POINT(-93.8 30.9)
2016-01-21,45,POINT(-93.4 32.6)
2016-01-21,52,POINT(-93.4 30.7)
2016-01-21,38,POINT(-92 34.7)
2016-01-21,37,POINT(-94.3 27.4)
2016-01-21,24,POINT(-92.3 29.3)
2016-01-21,43,POINT(-90.5 31.7)
2016-01-21,41,POINT(-91.4 31.3)
2016-01-21,46,POINT(-90.1 28.8)
2016-01-21,32,POINT(-89.9 28.9)
2016-01-21,26,POINT(-90.3 28.6)
2016-01-21,49,POINT(-93.1 30.9)
2016-01-21,33,POINT(-91.4 31.4)
2016-01-21,60,POINT(-90.6 31.7)
2016-01-21,27,POINT(-90.2 31.9)
2016-01-21,33,POINT(-89.9 32.2)
2016-01-21,42,POINT(-93.9 30.6)
2016-01-21,44,POINT(-94.7 32.8)
2016-01-21,40,POINT(-93.6 32.1)
2016-01-21,29,POINT(-93.5 28.4)
2016-01-21,52,POINT(-94.2 34.3)
2016-01-21,38,POINT(-95.4 32.6)
2016-01-21,29,POINT(-91.1 31.4)
2016-01-21,27,POINT(-90.9 30.9)
2016-01-22,26,POINT(-91 27.7)
2016-01-22,33,POINT(-89.1 25.9)
2016-01-22,27,POINT(-91 27.6)
2016-01-22,27,POINT(-88.9 30.2)
2016-01-22,45,POINT(-90.5 26.6)
2016-01-22,57,POINT(-87 30.1)
2016-01-22,86,POINT(-86.7 30.4)
2016-01-22,32,POINT(-91.1 26.4)
2016-01-22,39,POINT(-88.9 29.2)
2016-01-22,45,POINT(-86.1 29.9)
2016-01-22,29,POINT(-87.1 30.7)
2016-01-22,29,POINT(-89.7 29.2)
2016-01-22,34,POINT(-88.8 30.1)
2016-01-22,29,POINT(-89.8 28.9)
2016-01-22,37,POINT(-88.8 29.2)
2016-01-22,26,POINT(-90 26.5)
2016-01-22,29,POINT(-91.6 28.9)
2016-01-22,58,POINT(-90.4 28.9)
2016-01-22,25,POINT(-91.1 29.7)
2016-01-22,35,POINT(-89.9 28.9)
2016-01-22,34,POINT(-88.7 29.9)
2016-01-22,37,POINT(-91.1 26.6)
2016-01-22,26,POINT(-90.2 27.6)
2016-01-22,28,POINT(-90.1 26.6)
2016-01-22,47,POINT(-88.8 30)
2016-01-22,30,POINT(-89.3 25.9)
2016-01-22,35,POINT(-89.9 28.8)
2016-01-22,29,POINT(-90.1 27.6)
2016-01-22,24,POINT(-95.2 23.8)
2016-01-22,28,POINT(-90.3 27.6)
2016-01-22,24,POINT(-89.4 29)
2016-01-22,30,POINT(-87.2 30.7)
2016-01-22,29,POINT(-89.8 29.1)
2016-01-22,31,POINT(-89 32)
2016-01-22,54,POINT(-88.6 30)
2016-01-22,49,POINT(-90.1 28.9)
2016-01-22,30,POINT(-87.8 30.9)
2016-01-22,25,POINT(-93 26.8)
2016-01-22,26,POINT(-90.6 26.4)
2016-01-22,27,POINT(-91.1 29.8)
2016-01-22,25,POINT(-91.4 25.9)
2016-01-22,30,POINT(-89.3 27.9)
2016-01-22,42,POINT(-90.7 28.9)
2016-01-22,55,POINT(-87.1 30.5)
2016-01-22,25,POINT(-88.1 30.7)
2016-01-22,95,POINT(-87.1 30.1)
2016-01-22,32,POINT(-85.5 25.4)
2016-01-22,28,POINT(-91.8 28.9)
2016-01-22,52,POINT(-90.4 29.1)
2016-01-22,35,POINT(-89.8 27.7)
2016-01-22,25,POINT(-89.5 30)
2016-01-22,32,POINT(-91 27.8)
2016-01-22,24,POINT(-87.7 29.7)
2016-01-22,24,POINT(-87 30.4)
2016-01-22,33,POINT(-90.4 29)
2016-01-22,37,POINT(-89.8 29.2)
2016-01-22,26,POINT(-92.6 26.3)
2016-01-22,25,POINT(-86.9 30.6)
2016-01-22,28,POINT(-85.9 28.7)
2016-01-22,47,POINT(-89 29.5)
2016-01-22,27,POINT(-90.6 29.2)
2016-01-22,31,POINT(-91 26.4)
2016-01-22,24,POINT(-93.5 24.3)
2016-01-22,28,POINT(-85.3 28.9)
2016-01-22,26,POINT(-90.3 29)
2016-01-22,35,POINT(-87.1 30.6)
2016-01-22,32,POINT(-89.1 32)
2016-01-22,52,POINT(-89.5 27.8)
2016-01-22,26,POINT(-89.4 32.1)
2016-01-22,36,POINT(-88.7 29.2)
2016-01-22,65,POINT(-86.2 30.7)
2016-01-22,47,POINT(-88.4 30.2)
2016-01-22,44,POINT(-89.9 27.6)
2016-01-22,26,POINT(-91.4 28.8)
2016-01-22,26,POINT(-88.8 28.3)
2016-01-22,40,POINT(-89.2 32)
2016-01-22,39,POINT(-89.4 28.9)
2016-01-22,32,POINT(-89.3 29.4)
2016-01-22,35,POINT(-87.1 27.8)
2016-01-22,74,POINT(-87 30.2)
2016-01-22,26,POINT(-89.2 29.5)
2016-01-22,28,POINT(-89.9 28.6)
2016-01-22,94,POINT(-86.8 30.4)
2016-01-22,27,POINT(-89.5 31.8)
2016-01-22,53,POINT(-90.7 28.8)
2016-01-22,44,POINT(-90 29)
2016-01-22,28,POINT(-91.8 28.6)
2016-01-22,43,POINT(-89.4 29.5)
2016-01-22,35,POINT(-91.1 28.5)
2016-01-22,25,POINT(-85.8 29.5)
2016-01-22,30,POINT(-89.6 29.9)
2016-01-22,24,POINT(-86.4 29.8)
2016-01-22,34,POINT(-89.2 31.9)
2016-01-22,25,POINT(-91.5 26.5)
2016-01-22,24,POINT(-91.3 27.7)
2016-01-22,36,POINT(-89.6 28.8)
2016-01-22,84,POINT(-85 29.1)
2016-01-22,32,POINT(-90.6 29.1)
2016-01-22,33,POINT(-88.3 30.6)
2016-01-22,28,POINT(-89.5 28.9)
2016-01-22,26,POINT(-91.6 26.4)
2016-01-22,31,POINT(-90.4 26.8)
2016-01-22,63,POINT(-86.7 30.5)
2016-01-22,78,POINT(-86.9 30.2)
2016-01-22,25,POINT(-85.4 28)
2016-01-22,26,POINT(-90.2 29.2)
2016-01-22,29,POINT(-89.2 30.1)
2016-01-22,28,POINT(-89.8 29.9)
2016-01-22,49,POINT(-87.9 31)
2016-01-22,55,POINT(-87.2 30.1)
2016-01-22,28,POINT(-89.2 28)
2016-01-22,28,POINT(-91 25.8)
2016-01-22,35,POINT(-86.3 30.7)
2016-01-22,25,POINT(-84.7 29.2)
2016-01-22,31,POINT(-90.3 26.9)
2016-01-22,29,POINT(-92.1 28.4)
2016-01-22,37,POINT(-88.9 29.1)
2016-01-22,35,POINT(-90.9 28.7)
2016-01-22,33,POINT(-90.9 26.4)
2016-01-22,60,POINT(-87.2 30)
2016-01-22,34,POINT(-90.6 26.5)
2016-01-22,27,POINT(-89.3 26.2)
2016-01-22,24,POINT(-84.5 28.5)
2016-01-22,29,POINT(-85.3 29)
2016-01-22,49,POINT(-89.2 25.9)
2016-01-22,26,POINT(-89.9 29.2)
2016-01-22,24,POINT(-86.3 29.8)
2016-01-22,33,POINT(-89.8 29.3)
2016-01-22,33,POINT(-90.7 28.6)
2016-01-22,27,POINT(-90.2 28.7)
2016-01-22,25,POINT(-89.3 26)
2016-01-22,24,POINT(-88.3 30.1)
2016-01-22,38,POINT(-91.1 29)
2016-01-22,37,POINT(-90.1 29)
2016-01-22,37,POINT(-88.8 29.1)
2016-01-22,25,POINT(-89 28.1)
2016-01-22,36,POINT(-90.3 28.9)
2016-01-22,31,POINT(-91 28.5)
2016-01-22,30,POINT(-89.5 32)
2016-01-22,30,POINT(-95.1 23.6)
2016-01-22,31,POINT(-89.5 27.9)
2016-01-22,44,POINT(-91.2 28.9)
2016-01-22,26,POINT(-91 26.7)
2016-01-22,25,POINT(-90.2 30.8)
2016-01-22,31,POINT(-89.7 29.3)
2016-01-22,56,POINT(-87.3 30.4)
2016-01-22,55,POINT(-90.5 28.8)
2016-01-22,57,POINT(-88.7 30)
2016-01-22,34,POINT(-92.3 26.5)
2016-01-22,26,POINT(-90.7 26.1)
2016-01-22,26,POINT(-86.3 29.7)
2016-01-22,27,POINT(-88.4 30.4)
2016-01-22,26,POINT(-89.4 25.8)
2016-01-22,28,POINT(-91.8 28.8)
2016-01-22,39,POINT(-91.3 28.5)
2016-01-22,24,POINT(-92.9 26.6)
2016-01-22,39,POINT(-90.2 29)
2016-01-22,27,POINT(-88.9 25.8)
2016-01-22,40,POINT(-90.6 26.8)
2016-01-22,24,POINT(-90.4 27.9)
2016-01-22,30,POINT(-89.2 28.1)
2016-01-22,62,POINT(-86.7 30.3)
2016-01-22,50,POINT(-89.8 27.6)
2016-01-22,32,POINT(-90.9 28.6)
2016-01-22,26,POINT(-89.1 28)
2016-01-22,28,POINT(-92.1 28.7)
2016-01-22,40,POINT(-87.4 30.3)
2016-01-22,29,POINT(-88.7 29.8)
2016-01-22,25,POINT(-88.1 29.5)
2016-01-22,39,POINT(-89.4 29.3)
2016-01-22,27,POINT(-90 28.7)
2016-01-22,32,POINT(-89.1 29.1)
2016-01-22,24,POINT(-92.7 25.2)
2016-01-22,49,POINT(-85.2 29)
2016-01-22,67,POINT(-86.9 30.3)
2016-01-22,34,POINT(-89.4 29.4)
2016-01-22,41,POINT(-89.8 28.7)
2016-01-22,32,POINT(-90.8 26.7)
2016-01-22,33,POINT(-90 27.7)
2016-01-22,26,POINT(-88.9 29.6)
2016-01-22,50,POINT(-89.6 28.7)
2016-01-22,43,POINT(-91.5 28.8)
2016-01-22,31,POINT(-92.9 25.2)
2016-01-22,44,POINT(-85.1 29.1)
2016-01-22,49,POINT(-91.5 28.9)
2016-01-22,37,POINT(-89.6 27.8)
2016-01-22,32,POINT(-87.2 30.6)
2016-01-22,46,POINT(-90.8 28.8)
2016-01-22,26,POINT(-89.7 29)
2016-01-22,55,POINT(-89.5 28.8)
2016-01-22,37,POINT(-91.9 28.8)
2016-01-22,34,POINT(-89.8 31.3)
2016-01-22,29,POINT(-91.8 28.7)
2016-01-22,47,POINT(-91 28.7)
2016-01-22,26,POINT(-88.2 30.6)
2016-01-22,25,POINT(-88.9 29)
2016-01-22,35,POINT(-84.8 29.2)
2016-01-22,33,POINT(-86.9 29.5)
2016-01-22,24,POINT(-90.9 27.7)
2016-01-22,39,POINT(-89.6 29.4)
2016-01-22,28,POINT(-84.8 29)
2016-01-22,31,POINT(-90.2 26.6)
2016-01-22,30,POINT(-89.3 31.9)
2016-01-22,35,POINT(-89.4 27.9)
2016-01-22,41,POINT(-84.8 27.4)
2016-01-22,25,POINT(-86.6 29.6)
2016-01-22,41,POINT(-86 30.8)
2016-01-22,47,POINT(-90.8 28.6)
2016-01-22,26,POINT(-89.7 29.8)
2016-01-22,32,POINT(-89.4 32)
2016-01-22,27,POINT(-89.5 28.7)
2016-01-22,27,POINT(-88.9 30)
2016-01-22,42,POINT(-88.6 30.3)
2016-01-22,63,POINT(-87.9 30.9)
2016-01-22,26,POINT(-91.9 28.5)
2016-01-22,26,POINT(-91.5 27.7)
2016-01-22,26,POINT(-83.6 28.4)
2016-01-22,29,POINT(-91.3 28.8)
2016-01-22,35,POINT(-88.3 30.3)
2016-01-22,36,POINT(-90.6 28.8)
2016-01-22,30,POINT(-89.2 28.7)
2016-01-22,32,POINT(-89.1 29.4)
2016-01-22,24,POINT(-90.7 26.3)
2016-01-22,30,POINT(-91.6 29.6)
2016-01-22,70,POINT(-88.8 29.9)
2016-01-22,62,POINT(-89.4 27.8)
2016-01-22,50,POINT(-91 28.6)
2016-01-22,70,POINT(-88.4 30.3)
2016-01-22,28,POINT(-90.4 26.9)
2016-01-22,27,POINT(-85.8 30.9)
2016-01-22,24,POINT(-91.3 28.7)
2016-01-22,29,POINT(-90.6 29)
2016-01-22,45,POINT(-85.7 30.2)
2016-01-22,39,POINT(-90.8 28.9)
2016-01-22,40,POINT(-90.6 28.9)
2016-01-22,28,POINT(-92.4 26.1)
2016-01-22,24,POINT(-89.6 26.5)
2016-01-22,34,POINT(-90.9 26.3)
2016-01-22,27,POINT(-88.8 26)
2016-01-22,25,POINT(-90.2 29.1)
2016-01-22,29,POINT(-87.7 31)
2016-01-22,33,POINT(-90.3 29.1)
2016-01-22,95,POINT(-85.1 29)
2016-01-22,40,POINT(-86.3 30.6)
2016-01-22,49,POINT(-90.5 28.9)
2016-01-22,37,POINT(-89.7 27.6)
2016-01-22,37,POINT(-89.6 32)
2016-01-22,32,POINT(-91.3 29)
2016-01-22,42,POINT(-90.7 26.5)
2016-01-22,41,POINT(-90 28.9)
2016-01-22,50,POINT(-90.1 26.5)
2016-01-22,27,POINT(-90 26.7)
2016-01-22,25,POINT(-86.5 30.4)
2016-01-22,26,POINT(-91.2 26.4)
2016-01-22,35,POINT(-89.4 31.8)
2016-01-22,32,POINT(-86.2 29.9)
2016-01-22,42,POINT(-91.7 28.8)
2016-01-22,40,POINT(-90.4 28.8)
2016-01-22,27,POINT(-89.6 29.3)
2016-01-22,35,POINT(-89.1 29.5)
2016-01-22,42,POINT(-86.1 30.7)
2016-01-22,27,POINT(-86.2 30.8)
2016-01-22,27,POINT(-88.1 30.8)
2016-01-22,65,POINT(-87 30.3)
2016-01-22,28,POINT(-91 30.4)
2016-01-22,27,POINT(-89.2 29.7)
2016-01-22,29,POINT(-89.1 28.8)
2016-01-22,38,POINT(-89.6 28.9)
2016-01-22,41,POINT(-89.1 28.1)
2016-01-22,49,POINT(-89 28.2)
2016-01-22,46,POINT(-85.9 30.1)
2016-01-22,45,POINT(-90.7 26.8)
2016-01-22,25,POINT(-90.9 30.5)
2016-01-22,37,POINT(-90.7 28.7)
2016-01-22,40,POINT(-91.2 28.5)
2016-01-22,43,POINT(-89.7 28.7)
2016-01-22,50,POINT(-91 26.5)
2016-01-22,92,POINT(-89.6 27.7)
2016-01-22,34,POINT(-86.7 28.1)
2016-01-22,67,POINT(-87.2 30.5)
2016-01-22,29,POINT(-92 28.8)
2016-01-22,98,POINT(-88.5 30.2)
2016-01-22,28,POINT(-93.6 25.9)
2016-01-22,34,POINT(-91.4 27.7)
2016-01-22,31,POINT(-90.6 26.6)
2016-01-22,45,POINT(-86 30)
2016-01-22,28,POINT(-90.1 31.2)
2016-01-22,27,POINT(-88.9 32)
2016-01-22,32,POINT(-89.5 29.2)
2016-01-22,28,POINT(-89 29.6)
2016-01-22,26,POINT(-87 30.6)
2016-01-22,30,POINT(-90.9 30.4)
2016-01-22,53,POINT(-86.6 30.5)
2016-01-22,24,POINT(-88.2 30.5)
2016-01-22,35,POINT(-87.4 29.9)
2016-01-22,47,POINT(-90.7 26.4)
2016-01-22,28,POINT(-90.6 27.6)
2016-01-22,27,POINT(-87.2 27.8)
2016-01-22,42,POINT(-91.1 27.7)
2016-01-22,40,POINT(-91.7 28.9)
2016-01-22,56,POINT(-88.5 30.1)
2016-01-22,40,POINT(-87.7 31.1)
2016-01-22,57,POINT(-89.5 27.7)
2016-01-22,32,POINT(-89.7 29.9)
2016-01-22,25,POINT(-90 28.8)
2016-01-22,42,POINT(-89.5 29.4)
2016-01-22,33,POINT(-91.7 28.7)
2016-01-22,32,POINT(-90.7 29)
2016-01-22,29,POINT(-91.5 27.6)
2016-01-22,36,POINT(-90.1 28.8)
2016-01-22,57,POINT(-86.9 30.4)
2016-01-22,71,POINT(-87.1 30.2)
2016-01-22,28,POINT(-86.9 30.1)
2016-01-22,28,POINT(-91.5 27.5)
2016-01-22,26,POINT(-91.3 28.4)
2016-01-22,26,POINT(-87.6 31.2)
2016-01-22,24,POINT(-91.6 28.7)
2016-01-22,31,POINT(-89.3 27.8)
2016-01-22,26,POINT(-86.4 28.3)
2016-01-22,76,POINT(-89.7 27.7)
2016-01-22,29,POINT(-84.6 28.4)
2016-01-22,29,POINT(-86.5 30.6)
2016-01-22,40,POINT(-90.7 27.8)
2016-01-22,27,POINT(-92.8 27.6)
2016-01-22,28,POINT(-85.8 30.2)
2016-01-22,26,POINT(-90.3 27.5)
2016-01-22,31,POINT(-89.2 29.6)
2016-01-22,30,POINT(-83.1 26.2)
2016-01-22,46,POINT(-88.8 30.2)
2016-01-22,32,POINT(-90.9 28.8)
2016-01-22,24,POINT(-90.6 28.7)
2016-01-22,35,POINT(-90.7 26.7)
2016-01-22,44,POINT(-89 29.1)
2016-01-22,31,POINT(-84.9 29.2)
2016-01-22,41,POINT(-88.7 30.2)
2016-01-22,26,POINT(-91.3 26.5)
2016-01-22,24,POINT(-86.7 29.6)
2016-01-22,29,POINT(-88.6 30.4)
2016-01-22,27,POINT(-87 27.9)
2016-01-22,39,POINT(-89.3 32)
2016-01-22,54,POINT(-90.2 28.9)
2016-01-22,38,POINT(-87.7 30.9)
2016-01-22,49,POINT(-84.9 29.1)
2016-01-22,40,POINT(-90.2 27.5)
2016-01-22,30,POINT(-90.1 27.5)
2016-01-22,55,POINT(-88.6 30.2)
2016-01-22,25,POINT(-89.7 26.5)
2016-01-22,38,POINT(-90.8 28.7)
2016-01-22,37,POINT(-85 28.9)
2016-01-22,53,POINT(-89.2 29.4)
2016-01-22,70,POINT(-88.6 30.1)
2016-01-22,29,POINT(-89 28)
2016-01-22,28,POINT(-85.4 28.9)
2016-01-22,36,POINT(-90.8 26.4)
2016-01-22,27,POINT(-87.1 30.3)
2016-01-22,32,POINT(-90.9 29)
2016-01-22,50,POINT(-91.2 27.7)
2016-01-22,32,POINT(-91 28.8)
2016-01-22,37,POINT(-91.2 28.6)
2016-01-22,25,POINT(-89.5 29.9)
2016-01-22,29,POINT(-85.1 28.9)
2016-01-22,37,POINT(-86.2 29.8)
2016-01-22,39,POINT(-91.4 28.9)
2016-01-22,35,POINT(-89.9 28.7)
2016-01-22,26,POINT(-89.7 29.4)
2016-01-22,38,POINT(-88 30.8)
2016-01-22,24,POINT(-89 26)
2016-01-22,28,POINT(-89.1 30.1)
2016-01-22,38,POINT(-89.2 29)
2016-01-22,38,POINT(-89.6 31.9)
2016-01-22,37,POINT(-90.3 28.8)
2016-01-22,27,POINT(-90.1 27.7)
2016-01-22,25,POINT(-91.2 28.4)
2016-01-22,35,POINT(-90.5 26.8)
2016-01-22,33,POINT(-91.9 28.7)
2016-01-22,24,POINT(-86.8 28)
2016-01-22,25,POINT(-88.4 30.1)
2016-01-22,28,POINT(-87.9 30.8)
2016-01-22,45,POINT(-87.2 30.2)
2016-01-22,27,POINT(-86.6 28.2)
2016-01-22,26,POINT(-89.1 31.9)
2016-01-22,25,POINT(-89.5 29)
2016-01-22,29,POINT(-89.2 26)
2016-01-22,40,POINT(-89.9 29.1)
2016-01-22,33,POINT(-91 26.3)
2016-01-22,30,POINT(-89.5 29.5)
2016-01-22,48,POINT(-88.9 29.8)
2016-01-22,32,POINT(-86.4 30.5)
2016-01-22,34,POINT(-90.3 26.6)
2016-01-22,27,POINT(-87.8 31.1)
2016-01-22,41,POINT(-88.9 29.9)
2016-01-22,32,POINT(-89.9 29)
2016-01-22,32,POINT(-91.9 29.5)
2016-01-22,31,POINT(-84.4 28.4)
2016-01-22,60,POINT(-86.6 30.4)
2016-01-22,76,POINT(-86.8 30.3)
2016-01-22,28,POINT(-89.5 31.9)
2016-01-22,46,POINT(-91.1 28.6)
2016-01-22,45,POINT(-90.9 26.5)
2016-01-22,30,POINT(-92.2 28.6)
2016-01-22,27,POINT(-88.9 30.1)
2016-01-22,29,POINT(-89.3 30)
2016-01-22,33,POINT(-85 29)
2016-01-22,24,POINT(-89 26.4)
2016-01-22,30,POINT(-89.7 31.4)
2016-01-22,29,POINT(-91.2 29.7)
2016-01-22,26,POINT(-85.6 30.2)
2016-01-22,26,POINT(-92.2 26.6)
2016-01-22,26,POINT(-88.7 30.3)
2016-01-22,31,POINT(-86.4 29.6)
2016-01-22,39,POINT(-84.9 27.4)
2016-01-22,24,POINT(-89.2 28.8)
2016-01-22,33,POINT(-88.6 29.4)
2016-01-22,40,POINT(-86.4 30.6)
2016-01-22,39,POINT(-90.2 28.8)
2016-01-22,33,POINT(-92 28.5)
2016-01-22,31,POINT(-88.7 29.3)
2016-01-22,52,POINT(-87.8 31)
2016-01-22,29,POINT(-92.4 27.6)
2016-01-22,42,POINT(-88.9 29.7)
2016-01-22,30,POINT(-90.8 26.3)
2016-01-22,26,POINT(-90.2 26.5)
2016-01-22,45,POINT(-87.2 30.4)
2016-01-22,30,POINT(-91.7 29.5)
2016-01-22,25,POINT(-88.8 29.3)
2016-01-22,24,POINT(-89.9 26)
2016-01-22,33,POINT(-90.5 28.7)
2016-01-22,32,POINT(-93.2 25.3)
2016-01-22,27,POINT(-87 30.7)
2016-01-22,24,POINT(-85.8 28.7)
2016-01-22,24,POINT(-91.5 26.4)
2016-01-22,27,POINT(-89.7 28.8)
2016-01-22,29,POINT(-91.1 28.9)
2016-01-22,33,POINT(-91.1 28.7)
2016-01-22,25,POINT(-89.4 30)
2016-01-22,54,POINT(-89 29.7)
2016-01-22,64,POINT(-90.4 28.7)
2016-01-22,36,POINT(-89.9 27.7)
2016-01-22,29,POINT(-88.4 30.5)
2016-01-22,26,POINT(-91.4 28.4)
2016-01-22,28,POINT(-87.6 31)
2016-01-22,26,POINT(-90.1 27)
2016-01-22,41,POINT(-90.8 26.5)
2016-01-22,38,POINT(-85.2 27.9)
2016-01-22,28,POINT(-90.2 26.9)
2016-01-22,26,POINT(-87.3 30.6)
2016-01-22,49,POINT(-91.6 28.8)
2016-01-22,34,POINT(-87.3 30)
2016-01-22,28,POINT(-86 30.1)
2016-01-22,44,POINT(-90.5 29)
2016-01-22,25,POINT(-89.2 32.1)
2016-01-22,37,POINT(-89.4 31.9)
2016-01-22,32,POINT(-86.8 30.2)
2016-01-22,25,POINT(-92 26.2)
2016-01-22,28,POINT(-86.6 29.7)
2016-01-22,41,POINT(-91.3 28.9)
2016-01-22,34,POINT(-88.5 30.4)
2016-01-22,41,POINT(-90.3 28.7)
2016-01-22,27,POINT(-90 27.6)
2016-01-22,31,POINT(-90.6 26.7)
2016-01-22,26,POINT(-87.3 29.9)
2016-01-22,40,POINT(-86.1 30)
2016-01-22,51,POINT(-88.8 29.8)
2016-01-22,66,POINT(-88.5 30.3)
2016-01-22,24,POINT(-86.3 28.4)
2016-01-22,29,POINT(-87.1 27.9)
2016-01-22,33,POINT(-90.5 26.5)
2016-01-22,36,POINT(-89.3 29)
2016-01-22,33,POINT(-86.1 30.8)
2016-01-22,54,POINT(-86.5 30.5)
2016-01-22,39,POINT(-88.8 29.7)
2016-01-22,61,POINT(-88.7 30.1)
2016-01-22,28,POINT(-92.2 26.5)
2016-01-22,34,POINT(-88.3 30.4)
2016-01-22,27,POINT(-86.5 28.3)
2016-01-22,30,POINT(-85.8 30.1)
2016-01-22,24,POINT(-92.1 26.6)
2016-01-22,30,POINT(-89.7 29.1)
2016-01-26,34,POINT(-93.5 26.5)
2016-01-26,47,POINT(-92.8 27.9)
2016-01-26,29,POINT(-93.4 26.4)
2016-01-26,86,POINT(-92.5 28.1)
2016-01-26,25,POINT(-95.6 25.1)
2016-01-26,46,POINT(-91.2 28)
2016-01-26,37,POINT(-92.3 28.1)
2016-01-26,32,POINT(-91 28.2)
2016-01-26,32,POINT(-94.1 26.1)
2016-01-26,31,POINT(-92.4 28.2)
2016-01-26,36,POINT(-93.8 25.9)
2016-01-26,35,POINT(-92.3 28.2)
2016-01-26,47,POINT(-98.2 29.3)
2016-01-26,24,POINT(-93.2 26.4)
2016-01-26,26,POINT(-92.8 27.8)
2016-01-26,49,POINT(-92.6 28)
2016-01-26,25,POINT(-98.7 28.9)
2016-01-26,42,POINT(-92.4 28.1)
2016-01-26,25,POINT(-91.1 28.1)
2016-01-26,27,POINT(-92.6 28.1)
2016-01-26,38,POINT(-94.5 25.8)
2016-01-26,28,POINT(-93.7 25.9)
2016-01-26,44,POINT(-93.9 26.3)
2016-01-26,31,POINT(-98.6 29)
